GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZinteractDT,com.zemoso.zinteract.decisiontableexecutor.abstractfactory,AbstractDtExecutorFactory,20,39,2,4,10,14,2,4,0,3
ZinteractDT,com.zemoso.zinteract.util,StringConstants,0,254,0,0,0,6,0,1,0,1
ZinteractDT,com.zemoso.zinteract.util,PatternMatcher.type,0,254,0,0,0,26,0,1,0,1
ZinteractDT,com.zemoso.zinteract.util,PatternMatcher,0,214,0,0,0,29,0,3,0,3
ZinteractDT,com.zemoso.zinteract.comparators.util,ComparatorUtils,232,54,52,10,41,8,31,6,4,2
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.model,DecisionTableAction,3,27,0,0,1,11,1,7,1,7
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.model,DeccisionTableScript,64,0,4,0,19,0,8,0,6,0
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.model,DecisionTableHeader,0,18,0,0,0,5,0,3,0,3
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.model,DecisionTableRow,7,41,0,0,2,12,1,6,1,6
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.model,DecisionTable,4,52,0,0,2,20,1,10,1,10
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.model,ConditionValue,28,24,0,0,13,11,7,5,7,5
ZinteractDT,com.zemoso.zinteract.decisiontable.condition,GenericCondition,3,28,0,0,1,12,1,8,1,8
ZinteractDT,com.zemoso.zinteract.decisiontable.condition,DecisionTableCondition,0,3,0,0,0,1,0,1,0,1
ZinteractDT,com.zemoso.zinteract.decisiontable,DecisionTableResult,3,123,0,8,1,32,1,10,1,6
ZinteractDT,com.zemoso.zinteract.decisiontable,DecisionTableCreater,931,596,160,52,197,131,92,18,0,4
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,InComparator,38,3,6,0,12,1,4,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,GreaterThanEqualsComparator,17,3,4,0,4,1,3,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,LessThanComparator,11,3,2,0,4,1,2,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,NotInComparator,38,3,6,0,12,1,4,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,GreaterThanComparator,3,11,1,1,1,4,1,2,0,2
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,BetweenComparator,3,31,2,6,1,6,2,4,0,2
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,EqualsComparator,12,3,2,0,4,1,2,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,LessThanEqualsComparator,3,17,1,3,1,4,1,3,0,2
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,LikeComparator,12,3,2,0,4,1,2,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,NotEqualsComparator,18,3,4,0,4,1,3,1,1,1
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory.impl,NotLikeComparator,12,3,2,0,4,1,2,1,1,1
ZinteractDT,com.zemoso.zinteract.decisiontableexecutor.abstractfactory.factory,AbstractDtExecutor,0,3,0,0,0,1,0,1,0,1
ZinteractDT,com.zemoso.zinteract.decisiontableexecutor.abstractfactory.factory,DtExecutorFactory,4,52,1,3,1,12,1,3,0,2
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory,ComparatorFactory,0,9,0,0,0,2,0,2,0,2
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory.factory,Comparator,0,3,0,0,0,1,0,1,0,1
ZinteractDT,com.zemoso.zinteract.decisiontableexecutor.abstractfactory.factory.impl,DtExecutor,119,282,17,29,32,70,15,19,3,8
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.impl,InCondition,27,0,0,0,11,0,8,0,8,0
ZinteractDT,com.zemoso.zinteract.decisiontable.condition.impl,BetweenCondition,13,28,0,0,5,12,3,8,3,8
ZinteractDT,com.zemoso.zinteract.comparators.abstractfactory,AbstractComparatorFactory,25,127,2,4,11,25,2,4,0,3
ZinteractDT,com.zemoso.zinteract,DecisionTableGenerator,24,0,0,0,7,0,3,0,3,0
ZinteractDT,com.zemoso.zinteract,BillingApplication,8,0,0,0,3,0,2,0,2,0
ZinteractDT,com.zemoso.zinteract,TaxCalculator,11,71,2,4,6,18,3,3,1,2
